majorSeq,schoolName,majorName
17,국립군산대학교,건축・해양건설융합공학부
17,원광대학교,건축공학과
17,원광대학교,도시공학부
17,전북대학교,건축공학과
17,전주대학교,건축공학과
17,국립목포대학교,건축공학ㆍ토목공학ㆍ환경공학ㆍ식품공학ㆍ조경학자율전공학부
17,국립목포대학교,건축공학과
17,국립목포대학교,건축・토목공학과(건축공학심화트랙)
17,동신대학교,건축공학과
17,경북대학교,건설방재공학부 건설방재공학전공
17,경북대학교,건설방재공학부
17,경북대학교,건설방재공학과
17,경북대학교,건설방재공학부 건설환경공학전공
17,경일대학교,스마트공학부 건축토목공학전공
17,경일대학교,건축토목공학과
17,경일대학교,건축학부 건축공학전공
17,국립경국대학교,건축공학과
17,국립금오공과대학교,건축공학전공
17,대구가톨릭대학교,건축공학과
17,대구대학교,건축공학과
17,동양대학교,스마트건축공학과
17,영남대학교,건축공학전공
17,경남대학교,건축공학전공
17,경상국립대학교,건축공학과
17,경상국립대학교,건축공학전공
17,경상국립대학교,건축시스템공학전공
17,경상국립대학교,건축공학부
17,경상국립대학교,건축도시토목공학부(건축공학전공)
17,국립창원대학교,건축학부 건축공학전공
17,국립창원대학교,건축공학전공
17,제주국제대학교,건설공학부
17,제주대학교,건축공학전공
17,홍익대학교 세종캠퍼스,건축공학부
17,홍익대학교 세종캠퍼스,건축공학부 건축공학전공
17,홍익대학교 세종캠퍼스,건축공학과
20,건국대학교,건축학과
20,건국대학교,건축학전공
20,건국대학교,건축설계전공
20,건국대학교,건축학부
20,건국대학교,주거환경전공
20,경희대학교,주거환경학과
20,고려대학교,건축사회환경공학부
20,고려대학교,건축학과
20,광운대학교,건축학과
20,국민대학교,건축학부
20,국민대학교,건축설계전공
20,국민대학교,건축학전공
20,동국대학교,건축학전공
20,삼육대학교,건축학과(4년제)
20,삼육대학교,건축학과(5년제)
20,서울과학기술대학교,건축학부건축학전공
20,서울대학교,건축학과
20,서울대학교,건축학과(건축학전공(5년))
20,서울사이버대학교,건축공간디자인학과
20,서울시립대학교,건축학부 건축학전공(5년제)
20,세종대학교,건축학과
20,세종대학교,건축학전공
20,숭실대학교,건축학부 건축학전공
20,숭실대학교,건축학부 실내건축전공
